Date,Event,Category
10/25/1760,George III becomes King of Great Britain,Politics & Government
2/10/1763,The Treaty of Paris ends the Seven Years' War,War & Military Conflict
7/11/1767,President John Quincy Adams is born,Politics & Government
8/26/1768,Captain James Cook departs England on his first Pacific voyage,Exploration & Discovery
4/19/1770,James Cook's expedition sights the eastern coast of Australia,Exploration & Discovery
12/17/1770,Ludwig Von Beethoven is born,"Arts, Literature & Media"
5/10/1773,"Parliament passes the Tea Act, angering American colonists",Politics & Government
12/16/1773,The Boston Tea Party,Politics & Government
9/5/1774,The First Continental Congress convenes in Philadelphia,Politics & Government
3/23/1775,"Patrick Henry declares ""Give me liberty, or give me death""",Politics & Government
4/19/1775,The Battles of Lexington and Concord begin the American Revolution,War & Military Conflict
5/10/1775,The Second Continental Congress convenes in Philadelphia,Politics & Government
6/17/1775,Colonial forces fight the British at Bunker Hill,War & Military Conflict
12/16/1775,Author Jane Austen is born,"Arts, Literature & Media"
1/10/1776,"Thomas Paine publishes Common Sense, rallying support for independence","Arts, Literature & Media"
7/4/1776,The Continental Congress adopts the Declaration of Independence,Politics & Government
12/25/1776,General George Washington and his troops cross the Delaware River,War & Military Conflict
10/17/1777,British General Burgoyne surrenders at Saratoga,War & Military Conflict
12/19/1777,Washington's army begins its harsh winter at Valley Forge,War & Military Conflict
1/18/1778,Capt. James Cook finds Sandwich (Hawaiian) Islands,Exploration & Discovery
1/18/1778,James Cook's expedition becomes the first Europeans to reach the Hawaiian Islands,Exploration & Discovery
2/6/1778,France signs a treaty of alliance with the American colonies,Politics & Government
2/14/1779,Captain James Cook is killed in Hawaii,Exploration & Discovery
10/7/1780,Patriot militia win the Battle of Kings Mountain,War & Military Conflict
3/13/1781,William Herschel discovers the planet Uranus,Space & Astronomy
9/4/1781,Villiage of Los Angeles was founded,Politics & Government
10/19/1781,British General Cornwallis surrenders at Yorktown,War & Military Conflict
9/3/1783,The Treaty of Paris ends the American Revolutionary War,War & Military Conflict
11/25/1783,British troops evacuate New York City,War & Military Conflict
12/23/1783,George Washington resigns his military commission,War & Military Conflict
7/22/1784,Naturalist Friedrich Wilhelm Herschel catalogs new nebulae,Space & Astronomy
5/25/1787,Delegates convene the Constitutional Convention in Philadelphia,Politics & Government
9/17/1787,Delegates sign the U.S. Constitution in Philadelphia,Politics & Government
12/7/1787,Delaware is the first state to ratify the U.S. Constitution,Politics & Government
6/21/1788,The U.S. Constitution is ratified by the required ninth state,Politics & Government
9/13/1788,New York City becomes the first U.S. capital,Politics & Government
2/4/1789,The Electoral College unanimously elects George Washington president,Politics & Government
3/4/1789,The new U.S. Congress convenes for the first time,Politics & Government
4/28/1789,Fletcher Christian leads mutiny on HMS Bounty,War & Military Conflict
4/30/1789,George Washington is inaugurated as the first U.S. President,Politics & Government
7/14/1789,"Parisians storm the Bastille, igniting the French Revolution",War & Military Conflict
9/22/1789,The U.S. Postal Service is established,Politics & Government
9/24/1789,"Congress passes the Judiciary Act, establishing the federal court system",Politics & Government
9/25/1789,Congress sends the Bill of Rights to the states for ratification,Politics & Government
10/3/1789,Congress proposes a national day of thanksgiving,Politics & Government
2/1/1790,The U.S. Supreme Court convenes for the first time,Politics & Government
3/1/1790,First U.S. census authorized,Politics & Government
8/1/1790,The first U.S. census is completed,Politics & Government
2/25/1791,Congress charters the First Bank of the United States,Business & Economy
12/5/1791,Composer Wolfgang Amadeus Mozart dies,"Arts, Literature & Media"
12/15/1791,U.S. Bill of Rights signed,Politics & Government
2/20/1792,U.S. Postal Service is created,Politics & Government
1/1/1793,Britain sends the Macartney Mission to open trade with Qing China,Politics & Government
1/19/1793,French King Louis XVI sentenced to death,Politics & Government
1/21/1793,King Louis XVI of France is executed by guillotine,Crime & Assassination
10/16/1793,Marie Antoinette is executed by guillotine,Crime & Assassination
3/14/1794,Eli Whitney patents the cotton gin,Science & Technology
5/8/1794,Chemist Antoine Lavoisier is executed during the French Revolution,War & Military Conflict
5/8/1794,France's Reign of Terror claims the life of chemist Lavoisier,Science & Technology
7/27/1794,"Maximilien Robespierre is arrested, ending the Reign of Terror",Crime & Assassination
7/27/1794,Robespierre falls from power in the Thermidorian Reaction,Politics & Government
11/22/1794,The Whiskey Rebellion is suppressed in western Pennsylvania,Civil Rights & Social Movement
5/10/1796,Napoleon Bonaparte wins the Battle of Lodi in Italy,War & Military Conflict
5/14/1796,Edward Jenner administers the first smallpox vaccination,Science & Technology
5/14/1796,Edward Jenner administers the first successful smallpox vaccination,Science & Technology
7/1/1798,Napoleon's expedition lands in Egypt,War & Military Conflict
7/21/1798,Napoleon defeats Mamluk forces at the Battle of the Pyramids,War & Military Conflict
8/1/1798,Nelson destroys the French fleet at the Battle of the Nile,War & Military Conflict
1/21/1799,Edward Jenners smallpox vaccine introduced,Science & Technology
11/9/1799,Napoleon Bonaparte seizes power in France,War & Military Conflict
11/9/1799,Napoleon Bonaparte seizes power in France in the Coup of 18 Brumaire,Politics & Government
1/1/1800,Alessandro Volta invents the first electric battery,Science & Technology
12/12/1800,"Washington, D.C. is established as the U.S. capital",Politics & Government
3/4/1801,Thomas Jefferson is inaugurated as U.S. President,Politics & Government
3/25/1802,Britain and France sign the Treaty of Amiens,Politics & Government
4/30/1803,U.S. purchased Louisiana Territory,Politics & Government
4/30/1803,The United States completes the Louisiana Purchase from France,Politics & Government
1/1/1804,"Haiti declares independence, becoming the first Black-led republic",Politics & Government
5/14/1804,Lewis and Clark's expedition departs from St. Louis,Exploration & Discovery
5/14/1804,The Lewis and Clark Expedition departs to explore the American West,Exploration & Discovery
5/18/1804,Napoleon became Emperor of France,Politics & Government
7/11/1804,Alexander Hamilton shot by V.P. Aaron Burr in a duel,Crime & Assassination
12/2/1804,Napoleon crowns himself Emperor of the French,Politics & Government
10/21/1805,Britain wins the Battle of Trafalgar; Admiral Nelson is killed,War & Military Conflict
11/7/1805,Lewis and Clark's expedition reaches the Pacific Ocean,Exploration & Discovery
12/2/1805,Napoleon wins a decisive victory at the Battle of Austerlitz,War & Military Conflict
3/25/1807,Britain's Slave Trade Act abolishes the transatlantic slave trade within the British Empire,Civil Rights & Social Movement
2/12/1809,Naturalist Charles Darwin is born,Science & Technology
2/12/1809,President Abraham Lincoln is born,Politics & Government
9/16/1810,"Father Miguel Hidalgo issues the Grito de Dolores, beginning Mexico's War of Independence",War & Military Conflict
7/5/1811,Venezuela declares independence from Spain,Politics & Government
2/7/1812,Author Charles Dickens is born,"Arts, Literature & Media"
6/18/1812,"The United States declares war on Britain, starting the War of 1812",War & Military Conflict
6/24/1812,Napoleon's Grand Armee invades Russia,War & Military Conflict
1/28/1813,Jane Austen publishes Pride and Prejudice,"Arts, Literature & Media"
5/22/1813,Composer Richard Wagner is born,"Arts, Literature & Media"
10/16/1813,Coalition forces defeat Napoleon at the Battle of Leipzig,War & Military Conflict
8/24/1814,"British troops burn Washington, D.C.",War & Military Conflict
9/13/1814,"Francis Scott Key writes ""The Star-Spangled Banner""","Arts, Literature & Media"
9/14/1814,Francis Scott Key writes the Star Spangled Banner,"Arts, Literature & Media"
12/24/1814,War of 1812 Peace Treaty signed,War & Military Conflict
1/8/1815,Andrew Jackson wins the Battle of New Orleans,War & Military Conflict
3/20/1815,"Napoleon returns to Paris, beginning the Hundred Days",War & Military Conflict
4/10/1815,"Mount Tambora erupts in Indonesia, the largest eruption in recorded history",Disaster & Tragedy
6/18/1815,Wellington defeats Napolean at Waterloo,War & Military Conflict
9/18/1815,"The Congress of Vienna concludes, redrawing the map of Europe after Napoleon",Politics & Government
4/21/1816,Author Charlotte Bronte is born,"Arts, Literature & Media"
7/9/1816,Argentina declares independence from Spain,Politics & Government
2/12/1818,Chile formally declares independence from Spain,Politics & Government
8/16/1819,British cavalry charge protesters at the Peterloo Massacre in Manchester,War & Military Conflict
2/24/1821,Mexico gains independence from Spain,Politics & Government
9/27/1821,Mexico achieves independence from Spain,Politics & Government
9/28/1821,Mexico achieves independence after an eleven-year struggle,Politics & Government
7/2/1822,Simon Bolivar and Jose de San Martin meet in Guayaquil,Politics & Government
9/7/1822,Brazil declares independence from Portugal,Politics & Government
12/2/1823,The Monroe Doctrine declares European powers must stay out of the Western Hemisphere,Politics & Government
12/2/1823,President Monroe articulates the Monroe Doctrine opposing European colonization of the Americas,Politics & Government
5/7/1824,Beethoven's Ninth Symphony premieres in Vienna,"Arts, Literature & Media"
12/9/1824,"Republican forces win the Battle of Ayacucho, ending Spanish rule in South America",War & Military Conflict
8/6/1825,"Bolivia declares independence, named for Simon Bolivar",Politics & Government
9/27/1825,The Stockton and Darlington Railway opens as the first public steam railway,Science & Technology
12/1/1825,Russian officers stage the failed Decembrist revolt,War & Military Conflict
7/6/1826,The last Aztec-descended Mexican leader era references fade as Mexico stabilizes,Politics & Government
3/26/1827,Composer Ludwig van Beethoven dies,"Arts, Literature & Media"
5/26/1828,Feral child Kaspar Hauser appears in Nuremberg,Other Notable Event
3/16/1830,Slowest day ever for NY Stock Exchange,Business & Economy
5/24/1830,Andrew Jackson signs the Indian Removal Act,Politics & Government
7/30/1830,"Henry Ford born in Dearborn, MI",Business & Economy
6/7/1832,"Britain passes the Reform Act, expanding voting rights",Civil Rights & Social Movement
8/1/1834,Slavery is abolished throughout the British Empire,Civil Rights & Social Movement
7/8/1835,The Libery Bell cracks,Other Notable Event
11/30/1835,Author Mark Twain is born,"Arts, Literature & Media"
2/23/1836,The siege of the Alamo begins in Texas,War & Military Conflict
3/2/1836,Texas declares independence from Mexico,Politics & Government
3/6/1836,The Alamo falls to Mexican forces led by Santa Anna,War & Military Conflict
4/21/1836,Texan forces defeat Santa Anna at the Battle of San Jacinto,War & Military Conflict
1/26/1837,Michigan is admitted to the Union as the 26th state,Politics & Government
3/24/1837,Canada grants blacks the right to vote,Civil Rights & Social Movement
6/20/1837,Victoria becomes Queen of the United Kingdom,Politics & Government
1/1/1838,Britain's Chartist movement launches its campaign for political reform,Civil Rights & Social Movement
6/28/1838,Queen Victoria is crowned in Westminster Abbey,Politics & Government
1/7/1839,France announces Louis Daguerre's photographic process to the world,Science & Technology
2/6/1840,The Treaty of Waitangi is signed in New Zealand,Politics & Government
5/7/1840,Composer Pyotr Ilyich Tchaikovsky is born,"Arts, Literature & Media"
5/24/1844,Samuel Morse sends the first long-distance telegraph message,Science & Technology
5/17/1845,The rubber band was patented,Science & Technology
12/29/1845,Texas is admitted to the United States,Politics & Government
2/1/1846,"Giovanni Mastai-Ferretti is elected Pope Pius IX, the longest-reigning pope",Religion
6/28/1846,Adolphe Sax patents the saxophone,Science & Technology
9/10/1846,Elias Howe patents the sewing machine,Science & Technology
9/23/1846,Astronomers discover the planet Neptune,Space & Astronomy
2/11/1847,"Inventor Thomas Edison is born in Milan, Ohio",Science & Technology
7/24/1847,Brigham Young leads Mormon pioneers into the Salt Lake Valley,Religion
1/24/1848,Gold discovered at Sutter's Mill starts California Gold Rush,Science & Technology
1/24/1848,"Gold is discovered at Sutter's Mill, sparking the California Gold Rush",Business & Economy
2/2/1848,Treaty of Guadalupe Hidalgo end U.S-Mexican War,War & Military Conflict
2/21/1848,Marx and Engels publish The Communist Manifesto,"Arts, Literature & Media"
2/24/1848,"Revolution breaks out in Paris, toppling King Louis Philippe",War & Military Conflict
2/24/1848,A revolutionary wave sweeps across Europe,War & Military Conflict
5/29/1848,Wisconsin becomes the 30th U.S. state,Politics & Government
6/23/1848,Parisian workers rise up in the June Days uprising,War & Military Conflict
7/20/1848,The Seneca Falls Convention on women's rights concludes,Civil Rights & Social Movement
10/28/1848,The Communist Manifesto circulates widely following its publication,Politics & Government
1/23/1849,Elizabeth Blackwell becomes the first woman to earn a medical degree in the U.S.,Science & Technology
4/10/1849,The safety pin is patented,Science & Technology
1/29/1850,Henry Clay proposes the Compromise of 1850,Politics & Government
9/26/1850,California is admitted as the 31st U.S. state,Politics & Government
5/1/1851,The Great Exhibition opens at the Crystal Palace in London,Business & Economy
9/18/1851,First issue of the New York Times is published,"Arts, Literature & Media"
1/1/1852,A coup establishes Louis-Napoleon as Emperor Napoleon III of France,Politics & Government
3/20/1852,Harriet Beecher Stowe publishes Uncle Tom's Cabin,"Arts, Literature & Media"
3/30/1853,Painter Vincent van Gogh is born,"Arts, Literature & Media"
7/8/1853,"Commodore Matthew Perry sails into Tokyo Bay, opening Japan to trade",Business & Economy
2/28/1854,Republican Party formally organized,Politics & Government
3/31/1854,Commodore Perry signs the Convention of Kanagawa with Japan,Politics & Government
5/30/1854,The Kansas-Nebraska Act is signed into law,Politics & Government
6/29/1854,Gadsen Purchase--U.S. aquires parts of present day AZ & NM,Politics & Government
9/27/1854,Levi Strauss opens a dry goods business in San Francisco,Business & Economy
10/25/1854,Charge of the Light Brigade during the Crimean War,War & Military Conflict
9/8/1855,Allied forces capture Sevastopol in the Crimean War,War & Military Conflict
9/8/1855,"Allied forces capture Sevastopol, effectively ending the Crimean War",War & Military Conflict
7/10/1856,Inventor Nikola Tesla is born,Science & Technology
3/6/1857,The Supreme Court issues the Dred Scott decision,Politics & Government
5/10/1857,Indian sepoys mutiny against British rule in Meerut,War & Military Conflict
5/10/1857,"Sepoy soldiers mutiny against British rule, sparking the Indian Rebellion",War & Military Conflict
2/22/1858,Minnesota is admitted as the 32nd U.S. state,Politics & Government
3/30/1858,Hymen Lipman patents the pencil with an attached eraser,Science & Technology
6/16/1858,"Abraham Lincoln delivers his ""House Divided"" speech",Politics & Government
7/1/1858,Darwin and Wallace's theory of evolution is jointly presented in London,Science & Technology
8/21/1858,Lincoln and Douglas hold the first of their famous debates,Politics & Government
10/27/1858,President Theodore Roosevelt is born,Politics & Government
11/1/1858,The British Crown assumes direct control of India,Politics & Government
1/1/1859,Edwin Drake's oil well success touches off the modern petroleum industry,Science & Technology
5/22/1859,Author Arthur Conan Doyle is born,"Arts, Literature & Media"
8/27/1859,"Edwin Drake drills the first successful oil well in Titusville, Pennsylvania",Business & Economy
10/16/1859,John Brown raids the federal arsenal at Harpers Ferry,War & Military Conflict
11/24/1859,Charles Darwin publishes On the Origin of Species,Science & Technology
11/24/1859,The first practical typewriter patent is granted,Science & Technology
2/27/1860,Lincoln delivers his Cooper Union address in New York,Politics & Government
11/6/1860,Abraham Lincoln is elected U.S. President,Politics & Government
12/20/1860,South Carolina becomes the first state to secede from the Union,Politics & Government
1/29/1861,Kansas is admitted as a free state,Politics & Government
1/29/1861,Kansas is admitted as the 34th U.S. state,Politics & Government
2/9/1861,Jefferson Davis is elected president of the Confederate States,Politics & Government
3/17/1861,The Kingdom of Italy is proclaimed under Victor Emmanuel II,Politics & Government
3/17/1861,"The Kingdom of Italy is proclaimed, unifying most of the peninsula",Politics & Government
4/12/1861,"Confederate forces fire on Fort Sumter, starting the Civil War",War & Military Conflict
4/12/1861,"Confederate forces fire on Fort Sumter, starting the American Civil War",War & Military Conflict
5/6/1861,The Confederacy accepts Arkansas into its ranks,Politics & Government
6/8/1861,Tennessee secedes from the Union,Politics & Government
3/9/1862,Ironclads Monitor and Merrimack fight to a draw at Hampton Roads,War & Military Conflict
3/10/1862,First U.S. paper currency is issued,Business & Economy
9/17/1862,The Battle of Antietam becomes the bloodiest single day in American history,War & Military Conflict
9/22/1862,President Lincoln issues the preliminary Emancipation Proclamation,Civil Rights & Social Movement
1/1/1863,Abraham Lincoln signs the Emancipation Proclamation ending slavery,Civil Rights & Social Movement
5/1/1863,Confederate General Stonewall Jackson is mortally wounded at Chancellorsville,War & Military Conflict
7/1/1863,The Battle of Gettysburg begins,War & Military Conflict
7/1/1863,"The Battle of Gettysburg begins, a turning point in the Civil War",War & Military Conflict
7/4/1863,The Confederate garrison surrenders at Vicksburg,War & Military Conflict
11/19/1863,Lincoln delivers the Gettysburg Address,Politics & Government
9/2/1864,Union forces under Sherman capture Atlanta,War & Military Conflict
11/15/1864,Sherman begins his March to the Sea,War & Military Conflict
11/29/1864,U.S. troops massacre Cheyenne and Arapaho at Sand Creek,War & Military Conflict
1/31/1865,Congress passes 13th Amendment abolishing slavery,Civil Rights & Social Movement
3/3/1865,The Freedmen's Bureau is established,Politics & Government
4/9/1865,Gen. Lee surrenders to Gen. Grant at Appomattox,War & Military Conflict
4/9/1865,Confederate General Robert E. Lee surrenders at Appomattox Courthouse,War & Military Conflict
4/14/1865,President Lincoln is shot by John Wilkes Booth,Crime & Assassination
4/14/1865,President Abraham Lincoln is shot at Ford's Theatre,Crime & Assassination
4/26/1865,John Wilkes Booth is killed by Union soldiers,War & Military Conflict
5/29/1865,President Johnson grants amnesty to most former Confederates,Politics & Government
12/6/1865,The 13th Amendment abolishing slavery is ratified,Civil Rights & Social Movement
12/22/1865,General Sherman takes Savannah,War & Military Conflict
2/13/1866,"Jesse James hold up his first bank in Liberty, MO",Crime & Assassination
3/2/1867,Congress passes the first Reconstruction Act,Politics & Government
3/30/1867,The United States purchases Alaska from Russia,Politics & Government
7/1/1867,Canada becomes a self-governing dominion under the British North America Act,Politics & Government
11/7/1867,Physicist and chemist Marie Curie is born in Warsaw,Science & Technology
1/3/1868,"Emperor Meiji is restored to power, beginning Japan's modernization",Politics & Government
5/26/1868,The impeachment trial of President Andrew Johnson ends in acquittal,Politics & Government
7/9/1868,The 14th Amendment granting citizenship rights is ratified,Politics & Government
11/17/1868,"Suez Canal in Egypt opens, linking Mediterranean and Red Seas",Science & Technology
3/6/1869,Dmitri Mendeleev presents his periodic table of the elements,Science & Technology
5/10/1869,The First Transcontinental Railroad is completed at Promontory Summit,Science & Technology
11/6/1869,Rutgers and Princeton play the first intercollegiate football game,Sports
11/17/1869,The Suez Canal officially opens to shipping,Science & Technology
11/17/1869,"The Suez Canal opens, linking the Mediterranean and Red Seas",Business & Economy
2/3/1870,The 15th Amendment granting voting rights regardless of race is ratified,Civil Rights & Social Movement
2/26/1870,First NYC subway line opens,Science & Technology
6/9/1870,Author Charles Dickens dies,"Arts, Literature & Media"
9/2/1870,Prussian forces capture Napoleon III at the Battle of Sedan,War & Military Conflict
1/17/1871,German states unify under Kaiser Wilhelm I,Politics & Government
1/18/1871,The German Empire is proclaimed at the Palace of Versailles,Politics & Government
1/18/1871,"Germany is unified as an empire, with King Wilhelm I proclaimed Kaiser at Versailles",Politics & Government
3/8/1871,The Paris Commune is proclaimed,Politics & Government
3/18/1871,Parisians proclaim the revolutionary Paris Commune,War & Military Conflict
5/10/1871,"France and Germany sign the Treaty of Frankfurt, ending the Franco-Prussian War",War & Military Conflict
10/8/1871,The Great Chicago Fire begins,Disaster & Tragedy
3/1/1872,Yellowstone becomes the world's first national park,Politics & Government
5/10/1872,Victoria Woodhull becomes the first woman to run for U.S. President,Politics & Government
1/26/1875,Dentist's electric drill patented,Science & Technology
5/17/1875,The first Kentucky Derby is run at Churchill Downs,Sports
2/14/1876,Alexander Graham Bell files his telephone patent,Science & Technology
3/7/1876,Alexander Graham Bell is granted a patent for the telephone,Science & Technology
3/10/1876,Bell makes the first successful telephone call,Science & Technology
3/10/1876,Alexander Graham Bell successfully tests the telephone,Science & Technology
5/10/1876,The Centennial Exposition opens in Philadelphia,Business & Economy
6/25/1876,The Battle of Little Bighorn is fought,War & Military Conflict
6/25/1876,Lakota and allied forces defeat Custer's cavalry at the Battle of the Little Bighorn,War & Military Conflict
8/1/1876,Colorado is admitted as the 38th U.S. state,Politics & Government
9/7/1876,"The James-Younger Gang's raid fails at Northfield, Minnesota",Crime & Assassination
7/9/1877,The first Wimbledon tennis championship begins in London,Sports
8/12/1877,Thomas Edison completes the first phonograph,Science & Technology
9/5/1877,Sioux leader Crazy Horse is killed at Fort Robinson,Crime & Assassination
2/19/1878,Edison patents the gramophone,Science & Technology
7/13/1878,The Congress of Berlin redraws the map of the Balkans,Politics & Government
1/1/1879,Zulu forces defeat British troops at the Battle of Isandlwana,War & Military Conflict
2/8/1879,Rowland Hussey Macy's store expands into a New York institution,Business & Economy
3/14/1879,Physicist Albert Einstein is born,Science & Technology
10/21/1879,Thomas Edison demonstrates his incandescent electric lamp,Science & Technology
10/21/1879,Thomas Edison demonstrates a practical incandescent light bulb,Science & Technology
12/1/1880,The White House has its first telephone installed,Science & Technology
5/21/1881,Clara Barton founded the American Red Cross,Politics & Government
7/14/1881,Sheriff Pat Garrett kills Billy the Kid,Crime & Assassination
10/25/1881,Painter Pablo Picasso is born,"Arts, Literature & Media"
10/26/1881,Wyatt Earp & Doc Holliday face the Clanton gang at the OK Corral,Crime & Assassination
1/30/1882,President Franklin D. Roosevelt is born,Politics & Government
4/3/1882,Jesse James is killed,Crime & Assassination
9/5/1882,The first Labor Day parade is held in New York City,Civil Rights & Social Movement
8/27/1883,The eruption of Krakatoa produces a cataclysmic explosion heard thousands of miles away,Disaster & Tragedy
5/8/1884,President Harry S. Truman is born,Politics & Government
5/24/1884,Samuel Morse send the first telegraph message,Science & Technology
11/15/1884,European powers open the Berlin Conference to partition Africa,Politics & Government
1/29/1886,First successful gasoline driven car patented by Karl Benz in Germany,Science & Technology
5/1/1886,"Workers strike nationwide, later commemorated as May Day",Civil Rights & Social Movement
5/4/1886,A bomb kills police during the Haymarket labor rally in Chicago,Civil Rights & Social Movement
5/8/1886,Coca-Cola is first sold at a pharmacy in Atlanta,Business & Economy
10/28/1886,The Statue of Liberty is dedicated,Science & Technology
5/13/1888,Nikola Tesla is granted patents for the AC induction motor,Science & Technology
9/3/1888,George Eastman patents roll film and registers the Kodak name,"Arts, Literature & Media"
12/23/1888,Dutch Painter Vincent Van Gogh cuts off his own ear,"Arts, Literature & Media"
3/31/1889,The Eiffel Tower opens to the public in Paris,Science & Technology
4/15/1889,Comedian Charlie Chaplin is born,"Arts, Literature & Media"
4/20/1889,Adolf Hitler was born,Politics & Government
5/6/1889,The Eiffel Tower is officially inaugurated for the World's Fair,Science & Technology
5/31/1889,"The Johnstown Flood kills over 2,200 people in Pennsylvania",Disaster & Tragedy
9/23/1889,Nintendo is founded as a playing card company in Kyoto,Science & Technology
7/29/1890,Painter Vincent van Gogh dies,"Arts, Literature & Media"
9/15/1890,Mystery writer Agatha Christie was born,"Arts, Literature & Media"
10/14/1890,President Dwight D. Eisenhower is born,Politics & Government
12/29/1890,"The Battle of Wounded Knee, S.D.",War & Military Conflict
1/1/1892,Ellis Island opens as an immigration station in New York Harbor,Politics & Government
7/6/1892,Guards clash with strikers at the Homestead Steel strike,Civil Rights & Social Movement
1/1/1893,The Ferris Wheel debuts at the World's Columbian Exposition,Business & Economy
1/17/1893,Hawaii's Queen Liliuokalani is overthrown,Politics & Government
5/1/1893,The World's Columbian Exposition opens in Chicago,Business & Economy
5/11/1894,"Workers walk out at the Pullman Company, sparking a national strike",Civil Rights & Social Movement
9/28/1895,"Louis Pasteur, pioneer of microbiology, dies",Science & Technology
11/5/1895,George Selden receives the first U.S. patent for an automobile,Science & Technology
11/8/1895,Wilhelm Rontgen discovers X-rays,Science & Technology
12/28/1895,World's first movie theater opens in Paris,"Arts, Literature & Media"
3/1/1896,"Ethiopian forces defeat Italy at the Battle of Adwa, preserving Ethiopian independence",War & Military Conflict
4/6/1896,The first modern Olympic Games open in Athens,Sports
5/26/1896,Nicholas II crowned Czar of Russia,Politics & Government
6/2/1896,Guglielmo Marconi patents the wireless telegraph,Science & Technology
6/22/1897,Queen Victoria celebrates her Diamond Jubilee,Politics & Government
2/15/1898,The USS Maine explodes in Havana harbor,Disaster & Tragedy
4/25/1898,The United States declares war on Spain,War & Military Conflict
12/10/1898,The Treaty of Paris ends the Spanish-American War,War & Military Conflict
12/10/1898,"Spain cedes Puerto Rico, Guam, and the Philippines to the U.S.",Politics & Government
12/21/1898,Pierre and Marie Curie discover radium,Science & Technology
2/4/1899,The Philippine-American War begins,War & Military Conflict
3/6/1899,Aspirin is patented by Bayer,Science & Technology
4/11/1899,The Treaty of Paris formally ends the Spanish-American War,War & Military Conflict
10/11/1899,The Second Boer War begins in South Africa,War & Military Conflict
5/14/1900,The second modern Olympic Games open in Paris,Sports
6/21/1900,The Boxer Rebellion's siege of foreign legations begins in Beijing,War & Military Conflict
8/14/1900,An international force relieves the Siege of the Beijing Legations,War & Military Conflict
9/8/1900,"A hurricane devastates Galveston, Texas, killing thousands",Disaster & Tragedy
1/1/1901,The Commonwealth of Australia is formed,Politics & Government
1/22/1901,Queen Victoria dies after a 63-year reign,Politics & Government
1/22/1901,Edward VII becomes King upon the death of Queen Victoria,Politics & Government
9/2/1901,Vice President Theodore Roosevelt is sworn in after McKinley's shooting,Crime & Assassination
9/6/1901,President William McKinley is shot by an assassin,Crime & Assassination
12/10/1901,The first Nobel Prizes are awarded in Stockholm,Science & Technology
12/12/1901,Marconi receives the first transatlantic radio signal,Science & Technology
12/12/1901,Guglielmo Marconi receives the first transatlantic radio signal,Science & Technology
5/20/1902,Cuba gains formal independence from the United States,Politics & Government
5/31/1902,The Treaty of Vereeniging ends the Second Boer War,War & Military Conflict
6/2/1902,The Boer War ends with the Treaty of Vereeniging,War & Military Conflict
2/23/1903,Cuba leases Guantanamo Bay to the United States,Politics & Government
3/22/1903,Niagra Falls runs dry due to drought,Disaster & Tragedy
6/16/1903,Ford Motor Company is incorporated,Business & Economy
7/1/1903,The first Tour de France cycling race begins,Sports
11/1/1903,The Wright brothers begin regular test flights of powered aircraft,Science & Technology
11/3/1903,Panama declares independence with U.S. support,Politics & Government
11/18/1903,The U.S. and Panama sign a treaty for the Panama Canal Zone,Science & Technology
12/10/1903,Marie and Pierre Curie share the Nobel Prize in Physics,Science & Technology
12/17/1903,The Wright brothers achieve the first powered flight at Kitty Hawk,Science & Technology
2/8/1904,Japan launches a surprise attack on Russian ships at Port Arthur,War & Military Conflict
2/8/1904,"Japan attacks the Russian fleet at Port Arthur, starting the Russo-Japanese War",War & Military Conflict
1/22/1905,Russian troops fire on protesters on Bloody Sunday in St. Petersburg,War & Military Conflict
3/17/1905,Albert Einstein publishes his special theory of relativity,Science & Technology
5/27/1905,Japan destroys the Russian fleet at the Battle of Tsushima,War & Military Conflict
6/7/1905,Norway peacefully dissolves its union with Sweden,Politics & Government
4/18/1906,An earthquake and fire devastate San Francisco,Disaster & Tragedy
4/18/1906,A massive earthquake and fire devastate San Francisco,Disaster & Tragedy
4/19/1906,The Great San Francisco Earthquake,Disaster & Tragedy
11/9/1906,Theodore Roosevelt is the first U.S. president to visit other countries (Puerto Rico and Panama),Politics & Government
7/6/1907,Painter Frida Kahlo is born,"Arts, Literature & Media"
2/1/1908,Portugal's King Carlos I is assassinated in Lisbon,Crime & Assassination
4/27/1908,"The London Olympics open, the first with a dedicated purpose-built stadium",Sports
6/30/1908,A massive explosion flattens forest near the Tunguska River in Siberia,Disaster & Tragedy
6/30/1908,A massive explosion flattens forests near the Tunguska River in Siberia,Disaster & Tragedy
7/26/1908,"The Bureau of Investigation, later the FBI, is established",Politics & Government
8/27/1908,President Lyndon B. Johnson is born,Politics & Government
9/16/1908,General Motors is founded,Business & Economy
9/27/1908,The first Model T Ford rolls off the assembly line,Science & Technology
10/1/1908,"Henry Ford introduces the Model T car, selling for $825",Science & Technology
10/5/1908,The Young Turk Revolution restores Ottoman constitutional rule,Politics & Government
10/6/1908,Austria-Hungary annexes Bosnia and Herzegovina,War & Military Conflict
4/6/1909,Robert Peary claims to reach the North Pole,Exploration & Discovery
4/6/1909,Robert Peary's expedition claims to reach the North Pole,Exploration & Discovery
5/31/1910,The Union of South Africa is formed as a British dominion,Politics & Government
3/8/1911,The first International Women's Day is observed,Civil Rights & Social Movement
3/25/1911,"Triangle Shirtwaist Factory fire kills 145, only 13 girls survive",Disaster & Tragedy
5/31/1911,The RMS Titanic is launched in Belfast,Disaster & Tragedy
7/6/1911,President Ronald Reagan is born,Politics & Government
7/24/1911,Explorer Hiram Bingham rediscovers Machu Picchu,Exploration & Discovery
